TeamId,TeamName,SubmissionDate,Score
7220235,shahabhishek,"2021-08-10 17:23:09",0.00000
7234672,prince,"2021-08-20 16:58:21",0.00000
6482471,"Mukesh Bhandarkar","2021-08-27 12:56:35",0.00000
6068987,fedesoriano,"2021-09-27 20:34:44",0.00000
6135256,"Alex Maszanski","2021-11-07 12:03:41",0.00000
7656060,zasore,"2021-11-06 01:37:14",0.00000
7765821,"Andre Vianna","2021-11-21 19:12:58",0.00000
8129564,Seggetith,"2022-02-10 00:54:40",0.00000
4535473,"Adeyinka Michael Sotunde","2022-01-07 07:59:47",9616.12256
6151514,Danielph,"2021-07-24 04:29:07",10422.08408
6258688,AkmalMir,"2021-08-16 05:45:37",11554.12052
7569882,"Chryzal Beaudelaire","2021-12-15 10:02:45",11599.13289
7316728,"Sai Amrit Patnaik","2021-08-31 19:40:57",11612.55162
5624263,"Safwan Samla","2022-01-04 17:10:28",11616.08591
4262899,"Luu Tien Dao","2021-07-17 10:20:36",11616.96532
5174633,DonaldSt,"2021-08-22 01:20:05",11616.96532
7254249,"Maaz Mohammed","2021-08-25 03:46:14",11616.96532
3649661,"Nikita Lazarionok","2021-08-25 12:27:16",11616.96532
7276862,manhack,"2021-08-25 23:52:38",11616.96532
7279211,"Pranav Narayanan","2021-08-27 14:14:53",11616.96532
7210173,"Ankit Kalauni","2021-08-28 08:32:39",11616.96532
7274654,"Dhruval PB","2021-08-28 13:51:04",11616.96532
7225336,"Mohamed Reda Shoaib","2021-09-03 21:03:02",11616.96532
7385529,"Jerry Zhu","2021-09-06 04:18:24",11616.96532
7411325,"Enes Şimşek","2021-10-05 16:03:09",11616.96532
5578411,"Emines Team","2021-09-20 16:42:06",11616.96532
3545823,https://bit.ly/TryPrevisionIO,"2021-09-29 06:33:19",11616.96532
7763792,"Andrej Marinchenko","2022-03-16 04:38:59",11616.96532
4032814,PavanKalyan,"2021-11-25 07:29:20",11616.96532
7835472,"Masoud Ramezani","2021-12-05 17:09:01",11616.96532
8171866,"Prateek Pal","2022-02-16 16:38:34",11616.96532
7252282,Ashish,"2021-08-12 07:58:21",11664.60303
7265828,"Vasileios Konstantakos","2021-12-09 22:44:56",11720.54578
7248790,"Charles Dugas","2021-09-24 00:29:49",11726.53733
7933684,"Maryna Kysliak","2021-12-26 21:21:17",11734.06744
6884885,xiaomh,"2021-06-29 01:02:22",11781.87529
7143015,"Preeti Rana","2021-07-25 13:25:32",11781.87529
5749235,"YUZHE NI","2021-08-07 02:49:20",11828.37459
3279536,"Adam Suwik","2021-09-04 20:48:56",11845.08301
6718022,我就蹭蹭,"2021-08-15 05:34:30",11871.66067
4726765,masteronepiece,"2021-08-25 07:35:20",11977.59807
7533144,"Nguyen B1812364","2021-10-15 09:49:06",12010.41537
3381840,"Bruce Young","2022-02-22 16:29:53",12043.97530
3336991,"Aleksandr Sarachakov","2022-03-09 11:22:54",12109.65157
3600112,"Julia Kuzkina","2021-08-24 07:56:40",12117.71279
4531727,캐글창주입니다,"2021-11-30 06:59:32",12122.15554
7312895,"AKSHAT SACHAN","2021-08-20 05:26:41",12142.78827
7325930,"Ravish Kumar","2021-08-23 05:39:45",12142.78827
7374374,"BIJESH Reddy","2021-09-03 04:05:19",12142.78827
7383070,"sai padmakar","2021-09-05 09:59:41",12142.78827
7385509,BezawadaSriHarsha,"2021-09-06 04:05:01",12142.78827
7392321,"Shiv mini","2021-09-07 16:20:22",12142.78827
7392348,"Siddardha G","2021-09-07 16:27:47",12142.78827
7435028,Bora,"2021-09-20 08:48:34",12142.78827
7424305,Max_Feniuk,"2021-09-26 10:39:18",12142.78827
8090531,"Noro Chalise","2022-03-04 10:14:19",12154.62000
7754803,"Ilya Kondrusevich","2022-01-23 12:08:47",12181.92371
7775426,"M&B Extra","2021-11-23 09:59:05",12207.23319
7261751,"Anup Das","2021-08-21 05:15:16",12225.31958
7213113,"Kalilur Rahman","2021-08-24 09:32:18",12225.68449
6963794,ET101025,"2021-06-15 16:50:15",12235.88212
6155166,"Alex Petrov","2021-06-13 11:38:16",12236.82990
6596836,Jinroo,"2022-03-01 01:56:54",12257.17146
7385461,"Ramisetty Naga sudhakar","2021-09-06 03:46:50",12266.67179
7033143,MicroZavr,"2021-07-27 17:10:47",12281.98814
7471363,"Petru Boldisor","2021-09-28 16:37:52",12281.98814
7006204,Lakelight,"2021-07-22 07:52:31",12287.23764
7035309,sowa,"2021-07-19 13:04:16",12293.74952
7678534,"Roman Kaharlytskyi","2021-11-25 22:52:15",12295.61442
3538886,"Chekhova Nadezhda","2022-01-19 04:32:09",12301.96810
7507236,te5serer,"2021-11-18 08:53:59",12305.15795
6385178,IDK,"2021-10-01 04:42:19",12321.43403
7610015,"Khrystyna Shcherbanik","2021-12-09 21:20:07",12323.59249
7830523,"Anton Trofimuk","2022-02-25 22:21:52",12323.59249
